"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","DVD","BoxOffice","Production","Website","Response"
"1","7th Heaven","1927","NOT RATED","N/A","110 min","Drama, Romance","Frank Borzage","Austin Strong (play), Benjamin Glazer (screenplay), H.H. Caldwell (titles), Katherine Hilliker (titles)","Janet Gaynor, Charles Farrell, Ben Bard, Albert Gran","In Paris, in the early years of the twentieth century, lives Chico, a sewer worker with lofty aspirations. One night, Chico saves a young prostitute named Diane from the murderous rage of her tyrannical sister. Despite her lifestyle, Diane is honest and innocent, and when the police arrive to arrest her, Chico spontaneously claims that she is his wife. Forced to maintain this facade or else both face prison sentences, Chico reluctantly allows Diane to live with him -- and in the process, love gradually blossoms between them. However, the dark spectre of World War I has begun to descend upon France, and Chico and Diane cannot help but fall under its shadow.","English","USA","Won 3 Oscars. Another 3 wins & 2 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk2MjUzMzk3OV5BMl5BanBnXkFtZTcwOTk1MjQxMw@@._V1_SX300.jpg","N/A","7.8","1,900","tt0018379","movie","100","fresh","9.3","7","7","0","N/A","86","4.0","793","09 Dec 2008","N/A","N/A","N/A","True"
"2","The Racket","1928","PASSED","01 Nov 1928","84 min","Crime, Drama, Film-Noir","Lewis Milestone","Bartlett Cormack (from the stage success of), Bartlett Cormack (adaptation), Del Andrews (scenario), Tom Miranda (titles)","Thomas Meighan, Louis Wolheim, Marie Prevost, G. Pat Collins","An honest police captain named McQuigg becomes a tough rival to a powerful bootlegger named Scarsi, even though McQuigg's pinches never stick because Scarsi and his organization control the corrupt politicians and judges. When Scarsi can't scare McQuigg off, he gets him transferred to a quiet police precinct in the suburbs, but McQuigg continues their war of words via a pair of wisecracking newspaper reporters. Then McQuigg catches a huge break when Scarsi's younger brother gets picked up for a hit and run accident in his precinct, putting in motion a complex plan to bring down the mobster using the reporters, a nightclub singing gold digger, the upcoming elections and Scari's own organization.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTk5Mzc0MDY2N15BMl5BanBnXkFtZTgwMTg4MjQ3NDE@._V1._CR21,21,288,461_SX89_AL_.jpg_V1_SX300.jpg","N/A","6.9","620","tt0019304","movie","100","fresh","6.9","5","5","0","N/A","76","3.6","153","N/A","N/A","Paramount Pictures","N/A","True"
"3","Wings","1927","PG-13","05 Jan 1929","144 min","Drama, Romance, War","William A. Wellman, Harry d'Abbadie d'Arrast","John Monk Saunders (story), Hope Loring (screenplay), Louis D. Lighton (screenplay), Julian Johnson (titles)","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston","Two young men fall in love with the same same girl. After the US enters WWI, both join the Air Corps and become aces. They remain friends, but the relation to the girl threatens their friendship.","English","USA","Won 2 Oscars. Another 3 wins & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMzY5Nzk5NzA3M15BMl5BanBnXkFtZTgwMzA5NzM2MzE@._V1_SX300.jpg","N/A","7.8","7,273","tt0018578","movie","95","fresh","7.4","37","35","2","Subsequent war epics may have borrowed heavily from the original Best Picture winner, but they've all lacked Clara Bow's luminous screen presence and William Wellman's deft direction.","77","3.8","3320","24 Jan 2012","N/A","Unknown","N/A","True"
"4","Alibi","1928","N/A","04 Nov 1928","N/A","Short, Comedy","Phil Whitman","Alfred M. Loewenthal (titles), Jefferson Moffitt (scenario), Phil Whitman (scenario)","Billy Bevan, Natalie Joyce, Otto Fries, Alice Ward","N/A","English","USA","N/A","N/A","N/A","N/A","N/A","tt0019031","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"5","The Broadway Melody","1929","PASSED","06 Jun 1929","100 min","Musical, Romance","Harry Beaumont","Edmund Goulding (story), Sarah Y. Mason (continuity), Norman Houston (dialogue), James Gleason (dialogue)","Charles King, Anita Page, Bessie Love","Harriet and Queenie Mahoney, a vaudeville act, come to Broadway, where their friend Eddie Kerns needs them for his number in one of Francis Zanfield's shows. Eddie was in love with Harriet, but when he meets Queenie, he falls in love to her, but she is courted by Jock Warriner, a member of the New Yorker high society. It takes a while till Queenie recognizes, that she is for Jock nothing more than a toy, and it also takes a while till Harriet recognizes, that Eddie is in love with Queenie.","English","USA","Won 1 Oscar. Another 2 nominations.","http://ia.media-imdb.com/images/M/MV5BMjE0MjA4ODg5NF5BMl5BanBnXkFtZTgwMDk4MDY0MjE@._V1_SX300.jpg","N/A","6.4","4,214","tt0019729","movie","42","rotten","5.4","19","8","11","The Broadway Melody is interesting as an example of an early Hollywood musical, but otherwise, it's essentially bereft of appeal for modern audiences.","22","2.8","1712","01 Feb 2005","N/A","MGM Home Entertainment","N/A","True"
"6","Hollywood Revue","1929","N/A","23 Nov 1929","130 min","Musical","Charles Reisner","Al Boasberg (dialogue), Robert E. Hopkins (dialogue)","Conrad Nagel, Jack Benny, John Gilbert, Norma Shearer","Conrad Nagel, representing the Hollywood movie community, and Jack Benny, representing the Broadway stage community, act as the interlocutors of a musical comedy revue. A plethora of chorus boys and girls are featured front and center in some of the song and dance numbers, and provide back-up to some other acts. But the revue primarily is a vehicle to highlight a cavalcade of Hollywood movie and Broadway stage stars. One early running gag has both Nagel and Benny playing straight man to Cliff Edwards, who just wants a nice introduction to his act. Edwards would return later to be featured along with the Brox Sisters in one of the highlights of the second act, a production number around the song ""Singin' in Rain"", complete with rain soaked stage. A reprise of the song with the entire cast acts as the revue's finale.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMjQ2NDE5OTUwN15BMl5BanBnXkFtZTgwNjEyODg5MTE@._V1_SX300.jpg","N/A","7.7","1,425","tt0019993","movie","40","rotten","5.4","5","2","3","N/A","17","3.0","203","N/A","N/A","Metro-Goldwyn-Mayer Pictures","N/A","True"
"7","In Old Arizona","1928","PASSED","20 Jan 1929","95 min","Romance, Western","Irving Cummings","O. Henry (story), Tom Barry (adaptation), Tom Barry (dialogue)","Warner Baxter, Edmund Lowe, Dorothy Burgess","Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid's capture -- dead or alive. Together, they concoct a plan to ambush and do away with the Cisco Kid once and for all.","English, Spanish, Italian","USA","Won 1 Oscar. Another 4 nominations.","http://ia.media-imdb.com/images/M/MV5BMjE0ODAxNzQ0M15BMl5BanBnXkFtZTgwNTk4ODQwMjE@._V1_SX300.jpg","N/A","5.8","584","tt0020018","movie","56","rotten","5.4","9","5","4","N/A","46","3.1","336","04 Jun 2013","N/A","20th Century Fox Film Corporation","N/A","True"
"8","The Patriot","1928","N/A","01 Sep 1928","113 min","Drama","Ernst Lubitsch","Ashley Dukes (play), Julian Johnson (titles), Hanns Kräly (adaptation), Dmitri Merezhkovsky (story), Alfred Neumann (play)","Emil Jannings, Florence Vidor, Lewis Stone, Vera Voronina","N/A","English","USA","Won 1 Oscar. Another 4 nominations.","N/A","N/A","N/A","N/A","tt0019257","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67","4.2","184","N/A","N/A","N/A","N/A","True"
"9","All Quiet on the Western Front","1930","UNRATED","24 Aug 1930","136 min","Drama, War","Lewis Milestone","Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief)","Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy","This is an English language film (made in America) adapted from a novel by German author Erich Maria Remarque. The film follows a group of German schoolboys, talked into enlisting at the beginning of World War 1 by their jingoistic teacher. The story is told entirely through the experiences of the young German recruits and highlights the tragedy of war through the eyes of individuals. As the boys witness death and mutilation all around them, any preconceptions about ""the enemy"" and the ""rights and wrongs"" of the conflict disappear, leaving them angry and bewildered. This is highlighted in the scene where Paul mortally wounds a French soldier and then weeps bitterly as he fights to save his life while trapped in a shell crater with the body. The film is not about heroism but about drudgery and futility and the gulf between the concept of war and the actuality.","English, French, German, Latin","USA","Won 2 Oscars. Another 5 wins & 2 nominations.","http://ia.media-imdb.com/images/M/MV5BNTM5OTg2NDY1NF5BMl5BanBnXkFtZTcwNTQ4MTMwNw@@._V1_SX300.jpg","N/A","8.1","44,792","tt0020629","movie","98","certified","8.9","40","39","1","Director Lewis Milestone's brilliant anti-war polemic, headlined by an unforgettable performance from Lew Ayres, lays bare the tragic foolishness at the heart of war.","89","3.9","17440","05 Jan 1999","N/A","Universal Pictures","N/A","True"
"10","The Big House","1930","PASSED","14 Jun 1930","87 min","Drama, Romance, Thriller","George W. Hill, Ward Wing","Frances Marion (story), Joseph Farnham (additional dialogue), Martin Flavin (additional dialogue)","Chester Morris, Wallace Beery, Lewis Stone, Robert Montgomery","After a manslaughter conviction from drunk driving, nice but foolish Kent is sent to a prison over-crowded and unable to properly deal with it's inmates. There he meets veteran criminals like Morgan and his hardened pal Butch. And the system punishes them all, turning them against each other and bringing out the worst.","English, Russian","USA","Won 2 Oscars. Another 2 nominations.","http://ia.media-imdb.com/images/M/MV5BMTQyOTYyMDQwN15BMl5BanBnXkFtZTcwNjk0MDAyMw@@._V1_SX300.jpg","N/A","7.2","1,161","tt0020686","movie","83","fresh","7.2","6","5","1","N/A","77","3.6","298","22 Jun 1994","N/A","Warner Bros.","N/A","True"
